task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
HealthState,mag__time__skewness,33,0.1379139643170711,29,0.2918307710617205,22,0.2088479276676453,28.0,0.21286422101547897,0,0,not_top10
HealthState,v__spectral__centroid,17,0.4940363364678114,39,0.2129739060384054,29,0.1499143724475589,28.333333333333332,0.2856415383179252,0,0,not_top10
HealthState,mag__time__kurtosis,30,0.1527475307220755,30,0.2892475375655282,27,0.1866116332307859,29.0,0.20953556717279653,0,0,not_top10
HealthState,h__time__kurtosis,37,0.095932591261287,20,0.3304110459376487,33,0.0916618884407,30.0,0.17266850854654522,0,0,not_top10
HealthState,v__time__skewness,32,0.1452495163475259,42,0.2015707793065778,19,0.2209701950888661,31.0,0.18926349691432323,0,0,not_top10
HealthState,h__time__clearance_factor,34,0.1058392796870674,18,0.3534333266376981,42,0.018012013258337,31.333333333333332,0.15909487319436752,0,0,not_top10
HealthState,h__time__impulse_factor,35,0.1037682196403586,19,0.3433712052960986,41,0.0191960778814504,31.666666666666668,0.1554451676059692,0,0,not_top10
HealthState,mag__spectral__bandwidth,29,0.1734962829649625,37,0.2303877421657658,30,0.1311009613443552,32.0,0.17832832882502783,0,0,not_top10
HealthState,h__time__crest_factor,38,0.0950347073291547,21,0.3294103144021224,43,0.0174836756725634,34.0,0.14730956580128016,0,0,not_top10
HealthState,mag__time__clearance_factor,39,0.0883842162975718,25,0.307514155184901,38,0.0498739914560929,34.0,0.14859078764618858,0,0,not_top10
HealthState,mag__time__impulse_factor,41,0.0761617724797111,26,0.2965484338423186,39,0.0439794375786316,35.333333333333336,0.1388965479668871,0,0,not_top10
HealthState,h__time__skewness,31,0.1463745221681254,41,0.2072386227413324,36,0.0707547955432109,36.0,0.1414559801508896,0,0,not_top10
HealthState,v__time__impulse_factor,36,0.0979400885687409,38,0.2245882173772669,35,0.0793960226236953,36.333333333333336,0.13397477618990103,0,0,not_top10
HealthState,v__time__clearance_factor,40,0.0785276138347758,36,0.2310456906963537,34,0.084750316553682,36.666666666666664,0.1314412070282705,0,0,not_top10
HealthState,mag__time__crest_factor,43,0.0561366846397124,28,0.2945674939504731,40,0.0382348351960761,37.0,0.12964633792875388,0,0,not_top10
HealthState,v__time__crest_factor,42,0.0745984838087164,40,0.2092645118558175,37,0.0552032803732585,39.666666666666664,0.11302209201259746,0,0,not_top10
HealthState,h__time__mean,44,0.0024107489435969,44,0.0162364957041423,45,0.0057585802667556,44.333333333333336,0.008135274971498267,0,0,not_top10
HealthState,v__time__mean,45,0.0,45,0.0019025353704691,44,0.0135459953882299,44.666666666666664,0.005149510252899667,0,0,not_top10
RUL,mag__time__mean,1,0.7353060960945429,6,0.6494121494785365,4,0.5816824989031028,3.6666666666666665,0.6554669148253941,3,0,stable_candidate
RUL,mag__time__mean_abs,1,0.7353060960945429,6,0.6494121494785365,4,0.5816824989031028,3.6666666666666665,0.6554669148253941,3,0,stable_candidate
RUL,mag__time__rms,4,0.7345760799827227,2,0.6544405882744502,6,0.5807139043185965,4.0,0.6565768575252565,3,3,stable_candidate
RUL,h__time__rms,8,0.7022325702173482,3,0.6542490286556777,2,0.5878035949798087,4.333333333333333,0.6480950646176115,3,0,stable_candidate
RUL,h__time__mean_abs,10,0.6984410082271023,4,0.6533690875437028,1,0.5926770793544918,5.0,0.6481623917084323,3,0,stable_candidate
RUL,h__time__std,9,0.7022198424099447,5,0.6533142918257953,3,0.5873368757260924,5.666666666666667,0.6476236699872774,3,0,stable_candidate
RUL,mag__time__std,7,0.7106662331353449,1,0.6557272654617895,10,0.5639978066447812,6.0,0.6434637684139718,3,0,stable_candidate
RUL,v__time__mean_abs,3,0.7349545684459793,9,0.6324931489712778,7,0.5705548684130511,6.333333333333333,0.6460008619434361,3,0,stable_candidate
RUL,v__time__std,6,0.7258639354488265,10,0.630824311971327,9,0.5640590461575576,8.333333333333334,0.6402490978592371,3,0,stable_candidate
RUL,v__time__rms,5,0.7285697994778435,11,0.6304738426794938,8,0.5657952146304897,8.0,0.641612952262609,2,0,stable_candidate
RUL,h__time__ptp,12,0.6408852104966556,8,0.6327328234097969,11,0.5421207924700974,10.333333333333334,0.60524627545885,1,0,condition_specific
RUL,mag__time__ptp,13,0.6326685626243753,12,0.6215857115173201,12,0.5164514747989467,12.333333333333334,0.5902352496468808,0,0,not_top10
RUL,v__time__ptp,11,0.6507895576029966,13,0.6204249600545741,13,0.5154542889743124,12.333333333333334,0.5955562688772944,0,0,not_top10
RUL,mag__spectral__entropy,15,0.5521936677963396,14,0.5177345693943929,16,0.3274153106084675,15.0,0.46578118259973333,0,0,not_top10
RUL,mag__spectral__centroid,16,0.5284434619459717,20,0.3906133163877772,19,0.2995349226809246,18.333333333333332,0.4061972336715578,0,0,not_top10
RUL,v__spectral__entropy,14,0.5835644440862786,26,0.3799112415143818,17,0.3180004938990173,19.0,0.4271587264998926,0,0,not_top10
RUL,mag__spectral__rms_frequency,19,0.5121126401215108,18,0.3925495627153123,23,0.2801518263249288,20.0,0.39493800972058396,0,0,not_top10
RUL,mag__spectral__bandwidth,31,0.3112305153089367,16,0.3990139364387373,18,0.3007562875802638,21.666666666666668,0.337000246442646,0,0,not_top10
RUL,h__spectral__bandwidth,25,0.4401562616690576,27,0.3511255805889686,14,0.4322955365754158,22.0,0.40785912627781395,0,0,not_top10
RUL,v__spectral__rms_frequency,20,0.5052143523685491,31,0.3308999054684363,20,0.2919189073465082,23.666666666666668,0.37601105506116456,0,0,not_top10
RUL,v__spectral__bandwidth,22,0.4789797045854893,28,0.3499411060166052,22,0.288247888655459,24.0,0.37238956641918447,0,0,not_top10
RUL,h__spectral__entropy,18,0.5234180786648707,23,0.387655373798119,32,0.2250125951389173,24.333333333333332,0.3786953492006357,0,0,not_top10
RUL,h__spectral__rms_frequency,23,0.4643637418763034,29,0.3451024051208042,21,0.2895045646609745,24.333333333333332,0.3663235705526941,0,0,not_top10
RUL,h__spectral__centroid,21,0.4797658805892866,30,0.3389588807627635,25,0.2643246995629515,25.333333333333332,0.3610164869716672,0,0,not_top10
RUL,mag__time__skewness,34,0.228828738374467,15,0.414274246246415,28,0.2374506770466983,25.666666666666668,0.29351788722252675,0,0,not_top10
RUL,v__spectral__centroid,17,0.5257278236562934,35,0.2894557416315351,26,0.2500233677891166,26.0,0.35506897769231505,0,0,not_top10
RUL,h__time__skewness,30,0.3113841540650613,25,0.3847183131512354,29,0.2374193086033338,28.0,0.3111739252732102,0,0,not_top10
RUL,mag__time__kurtosis,35,0.2276803173245377,21,0.3900940331952461,31,0.2270023885775752,29.0,0.28159224636578634,0,0,not_top10
RUL,v__time__kurtosis,24,0.4457937609927815,36,0.2689132380733406,30,0.2319107624041041,30.0,0.31553925382340875,0,0,not_top10
RUL,v__spectral__peak_frequency,40,0.2087672566518048,38,0.2366001332953456,15,0.3543518793591029,31.0,0.2665730897687511,0,0,not_top10
RUL,h__time__kurtosis,39,0.2114614752315472,22,0.3884861389099166,33,0.2173038977096628,31.333333333333332,0.2724171706170422,0,0,not_top10
